Site,Date,Species,Frog,site,age,SVL,TIB,Weight,Sex,wells,Bd,Bd load
BP1,2018,P. pengilleyi,1,Warogong-Cotterill,3,26.7,7.7,1.24,m,negative,0,0
BP1,2018,P. pengilleyi,2,Warogong-Cotterill,3,26,7,1.31,m,positive,1,249
BP1,2018,P. pengilleyi,3,Warogong-Cotterill,5,25.6,6.8,1.28,m,negative,0,0
BP1,2018,P. pengilleyi,4,Warogong-Cotterill,4,27.1,7.6,1.23,m,negative,0,0
BP1,2018,P. pengilleyi,5,Warogong-Cotterill,4,25.2,7.7,1.21,m,negative,0,0
BP1,2018,P. pengilleyi,6,Warogong-Cotterill,2,25.4,7.8,1.11,m,negative,0,0
BP1,2018,P. pengilleyi,7,Warogong-Cotterill,3,24.9,7.5,1.48,m,negative,0,0
BP1A,2018,P. pengilleyi,8,Warogong-Cotterill,4,24,7.2,1.16,m,negative,0,0
BP1A,2018,P. pengilleyi,9,Warogong-Cotterill,5,23,6.8,1.15,m,negative,0,0
BP1A,2018,P. pengilleyi,10,Warogong-Cotterill,4,23.3,7.1,1.26,m,negative,0,0
BP1A,2018,P. pengilleyi,11,Warogong-Cotterill,3,22.9,7.3,1.29,m,negative,0,0
BP1A,2018,P. pengilleyi,12,Warogong-Cotterill,4,24.2,7.7,1.37,m,negative,0,0
BP1A,2018,P. pengilleyi,13,Warogong-Cotterill,4,23.7,7.4,1.21,m,negative,0,0
BP1A,2018,P. pengilleyi,14,Warogong-Cotterill,3,24,7.8,1.26,m,negative,0,0
BP2,2018,P. pengilleyi,15,Warogong-Cotterill,4,27.5,8,1.35,m,negative,0,0
BP2,2018,P. pengilleyi,16,Warogong-Cotterill,3,25,7.5,1.23,m,negative,0,0
BP2,2018,P. pengilleyi,17,Warogong-Cotterill,4,25.9,7.7,1.11,m,negative,0,0
BP2,2018,P. pengilleyi,18,Warogong-Cotterill,6,27.3,7.7,1.37,m,negative,0,0
BP2,2018,P. pengilleyi,19,Warogong-Cotterill,3,23,7.7,1.15,m,negative,0,0
BP2,2018,P. pengilleyi,20,Warogong-Cotterill,3,25.8,7.5,1.13,m,negative,0,0
BP-road-1,2018,P. pengilleyi,21,Warogong-Cotterill,3,24.3,8.1,1.41,m,negative,0,0
BP-road-1,2018,P. pengilleyi,22,Warogong-Cotterill,3,22.9,7.8,1.3,m,positive,1,244
BP-road-1,2018,P. pengilleyi,23,Warogong-Cotterill,4,23.3,8.1,1.41,m,negative,0,0
BP-road-1,2018,P. pengilleyi,24,Warogong-Cotterill,4,24.8,7.7,1.34,m,positive,1,5
BP-road-1,2018,P. pengilleyi,25,Warogong-Cotterill,5,23.5,7.5,1.31,m,negative,0,0
BP-yabby,2018,P. pengilleyi,26,Warogong-Cotterill,4,26.1,7.9,1.57,m,negative,0,0
BP-yabby,2018,P. pengilleyi,27,Warogong-Cotterill,4,22.3,7.6,0.92,m,negative,0,0
BP-yabby,2018,P. pengilleyi,28,Warogong-Cotterill,3,24.5,7.6,1.56,m,negative,0,0
BP-yabby,2018,P. pengilleyi,29,Warogong-Cotterill,3,23.8,7.1,0.92,m,negative,0,0
BP-yabby,2018,P. pengilleyi,30,Warogong-Cotterill,3,23.7,7.3,1.11,m,negative,0,0
BP-yabby,2018,P. pengilleyi,31,Warogong-Cotterill,4,23.3,8.2,1.46,m,negative,0,0
BP-yabby,2018,P. pengilleyi,32,Warogong-Cotterill,3,23.1,7.8,1.22,m,negative,0,0
BP-road-2,2018,P. pengilleyi,33,Warogong-Cotterill,3,23.9,8.4,1.57,m,negative,0,0
BP-road-2,2018,P. pengilleyi,34,Warogong-Cotterill,3,23.6,6.8,1.42,m,negative,0,0
BP-road-2,2018,P. pengilleyi,35,Warogong-Cotterill,5,25.5,7.2,1.44,m,negative,0,0
BP-road-2,2018,P. pengilleyi,36,Warogong-Cotterill,5,23.4,7.8,1.1,m,negative,0,0
BP-road-3,2018,P. pengilleyi,37,Warogong-Cotterill,3,22.2,7.5,1.25,m,negative,0,0
BP-road-3,2018,P. pengilleyi,38,Warogong-Cotterill,5,23.6,8,1.77,m,negative,0,0
BP-road-3,2018,P. pengilleyi,39,Warogong-Cotterill,3,23.6,7.4,1.39,m,negative,0,0
BP-road-3,2018,P. pengilleyi,40,Warogong-Cotterill,3,22.8,7.7,1.46,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,41,Micalong,2,23.3,7,0.82,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,42,Micalong,2,24.8,7.7,0.92,m,positive,1,5
Micalong,7/03/2018,P. pengilleyi,43,Micalong,4,28.4,8.5,1.25,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,44,Micalong,1,22.3,6.5,0.74,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,45,Micalong,3,23.5,6.9,1.08,m,positive,1,1
Micalong,7/03/2018,P. pengilleyi,46,Micalong,2,22.9,7.5,1.02,m,positive,1,12
Micalong,7/03/2018,P. pengilleyi,47,Micalong,3,22.9,7,0.82,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,48,Micalong,3,25.9,7.7,1.2,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,49,Micalong,2,22.9,6.8,0.78,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,50,Micalong,2,24,7.1,0.89,m,positive,1,469
Micalong,7/03/2018,P. pengilleyi,51,Micalong,2,24,7.5,1.03,m,positive,1,81
Micalong,7/03/2018,P. pengilleyi,52,Micalong,2,23.9,7.1,0.8,m,positive,1,923
Micalong,7/03/2018,P. pengilleyi,53,Micalong,1,22.4,6.8,0.76,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,54,Micalong,1,23.3,7.4,0.93,m,positive,1,1177
Micalong,7/03/2018,P. pengilleyi,55,Micalong,2,22.7,7.1,0.86,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,56,Micalong,2,22,6.4,0.81,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,57,Micalong,2,24.5,7.2,0.98,m,equivocal,0,0
Micalong,7/03/2018,P. pengilleyi,58,Micalong,2,24.5,6.5,0.83,m,positive,1,1
Micalong,7/03/2018,P. pengilleyi,59,Micalong,3,25.7,7.9,1.26,m,positive,1,150
Micalong,7/03/2018,P. pengilleyi,60,Micalong,2,24.5,7.3,0.93,m,equivocal,0,0
Micalong,7/03/2018,P. pengilleyi,61,Micalong,2,25.4,7.4,1.21,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,62,Micalong,3,25,7.1,1.09,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,63,Micalong,3,24.9,7.3,1.13,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,64,Micalong,2,23.8,7.5,0.99,m,positive,1,14
Micalong,7/03/2018,P. pengilleyi,65,Micalong,1,23.1,7.1,0.98,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,66,Micalong,2,23.5,6.7,0.96,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,67,Micalong,2,23.2,6.8,0.98,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,68,Micalong,2,23.5,7,1.12,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,69,Micalong,2,26.2,7.4,1.12,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,70,Micalong,2,24.8,7.5,1,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,71,Micalong,2,22.5,7,0.88,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,72,Micalong,3,27,7.7,1.38,m,equivocal,0,0
Micalong,7/03/2018,P. pengilleyi,73,Micalong,2,24.2,6.8,0.9,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,74,Micalong,2,22.9,7,0.97,m,positive,1,3
Micalong,7/03/2018,P. pengilleyi,75,Micalong,2,24.5,6.8,0.9,m,negative,0,0
Micalong,7/03/2018,P. pengilleyi,76,Micalong,2,24.7,7.4,1.22,m,positive,1,338
Micalong,3/03/2019,P. pengilleyi,1,Micalong,3,27.2,7.8,1.89,m,0,negative,0
Micalong,3/03/2019,P. pengilleyi,2,Micalong,2,25.5,7.5,0.98,m,3,positive,146
Micalong,3/03/2019,P. pengilleyi,3,Micalong,1,23.8,6.7,1.05,m,0,negative,0
Micalong,3/03/2019,P. pengilleyi,4,Micalong,3,29.6,8,2.27,female,3,positive,17
Micalong,3/03/2019,P. pengilleyi,5,Micalong,2,24.9,7.4,1.15,m,3,positive,18
Micalong,3/03/2019,P. pengilleyi,6,Micalong,2,22.8,7.2,0.82,m,3,positive,1560
Micalong,3/03/2019,P. pengilleyi,7,Micalong,2,23.5,6.5,0.98,m,0,negative,0
Micalong,3/03/2019,P. pengilleyi,8,Micalong,1,23.6,7,0.96,m,2,equivocal,0
Micalong,3/03/2019,P. pengilleyi,9,Micalong,3,25.7,7.1,1.14,m,3,positive,1377
Micalong,3/03/2019,P. pengilleyi,10,Micalong,3,24.4,7.2,1.05,m,0,negative,0
Micalong,3/03/2019,P. pengilleyi,11,Micalong,3,29.1,8.1,2.08,female,0,negative,0
Micalong,3/03/2019,P. pengilleyi,12,Micalong,4,28,8.4,1.77,female,0,negative,0
Micalong,3/03/2019,P. pengilleyi,13,Micalong,2,23.6,7,0.96,m,0,negative,0
Micalong,3/03/2019,P. pengilleyi,14,Micalong,2,22.3,6.7,0.85,m,0,negative,0
Micalong,3/03/2019,P. pengilleyi,15,Micalong,2,24.8,7,1.05,m,0,negative,0
Micalong,3/03/2019,P. pengilleyi,16,Micalong,2,25.5,6.9,1.07,m,3,positive,11
Micalong,3/03/2019,P. pengilleyi,17,Micalong,1,23.7,7,1,m,0,negative,0
Micalong,3/03/2019,P. pengilleyi,19,Micalong,1,25.9,7.5,1.25,m,0,negative,0
Micalong,3/03/2019,P. pengilleyi,20,Micalong,2,25.2,7.4,1.22,m,0,negative,0
Micalong,3/03/2019,P. pengilleyi,21,Micalong,3,27.2,7.5,1.34,m,3,positive,9
Micalong,3/03/2019,P. pengilleyi,22,Micalong,1,23.1,7.5,1.07,m,0,negative,0
Micalong,3/03/2019,P. pengilleyi,23,Micalong,1,24.8,6.8,0.82,m,0,negative,0
Micalong,3/03/2019,P. pengilleyi,24,Micalong,1,26.9,7.2,1.3,m,0,negative,0
Micalong,3/03/2019,P. pengilleyi,25,Micalong,1,23.2,6.9,1.02,m,3,positive,657
Micalong,3/03/2019,P. pengilleyi,26,Micalong,1,25.1,7.4,1.12,m,0,negative,0
Micalong,3/03/2019,P. pengilleyi,27,Micalong,3,23.2,6.9,0.95,m,0,negative,0
Micalong,3/03/2019,P. pengilleyi,28,Micalong,1,24,6.9,1.09,m,3,positive,131
Micalong,3/03/2019,P. pengilleyi,29,Micalong,1,24.5,7,1.02,m,0,negative,0
Micalong,3/03/2019,P. pengilleyi,30,Micalong,1,25,7.7,1.16,m,3,positive,477
Micalong,3/03/2019,P. pengilleyi,31,Micalong,2,25.1,7.5,1.01,m,0,negative,0
Micalong,3/03/2020,P. pengilleyi,1,Micalong,2,23.8,7.5,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,2,Micalong,2,23.2,6.3,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,3,Micalong,1,22.7,7,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,4,Micalong,2,22.4,6.9,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,5,Micalong,2,25,7.6,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,6,Micalong,2,24,7,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,7,Micalong,2,25.9,7,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,8,Micalong,2,26,7.8,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,9,Micalong,2,24.4,7.5,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,10,Micalong,2,24.5,7.4,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,11,Micalong,2,23,7.1,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,12,Micalong,1,24.6,7.7,NA,m,3,1,1220
Micalong,3/03/2020,P. pengilleyi,13,Micalong,2,24.5,7.4,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,14,Micalong,1,22.3,6.7,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,15,Micalong,1,23.6,6.9,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,16,Micalong,2,22.9,7.5,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,17,Micalong,2,24,7.7,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,18,Micalong,2,26.9,7.8,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,19,Micalong,2,24.8,6.9,NA,m,0,0,0
Micalong,3/03/2020,P. pengilleyi,20,Micalong,2,22.1,6.7,NA,m,0,0,0
Museum,museum,P. pengilleyi,1,Museum,5,NA,NA,,,,,
Museum,museum,P. pengilleyi,2,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,3,Museum,6,NA,NA,,,,,
Museum,museum,P. pengilleyi,4,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,5,Museum,3,NA,NA,,,,,
Museum,museum,P. pengilleyi,6,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,7,Museum,5,NA,NA,,,,,
Museum,museum,P. pengilleyi,8,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,9,Museum,5,NA,NA,,,,,
Museum,museum,P. pengilleyi,10,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,11,Museum,5,NA,NA,,,,,
Museum,museum,P. pengilleyi,12,Museum,6,NA,NA,,,,,
Museum,museum,P. pengilleyi,13,Museum,5,NA,NA,,,,,
Museum,museum,P. pengilleyi,14,Museum,NA,NA,NA,,,,,
Museum,museum,P. pengilleyi,15,Museum,6,NA,NA,,,,,
Museum,museum,P. pengilleyi,16,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,17,Museum,6,NA,NA,,,,,
Museum,museum,P. pengilleyi,18,Museum,7,NA,NA,,,,,
Museum,museum,P. pengilleyi,19,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,20,Museum,5,NA,NA,,,,,
Museum,museum,P. pengilleyi,21,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,22,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,23,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,24,Museum,3,NA,NA,,,,,
Museum,museum,P. pengilleyi,25,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,26,Museum,8,NA,NA,,,,,
Museum,museum,P. pengilleyi,27,Museum,6,NA,NA,,,,,
Museum,museum,P. pengilleyi,28,Museum,3,NA,NA,,,,,
Museum,museum,P. pengilleyi,29,Museum,3,NA,NA,,,,,
Museum,museum,P. pengilleyi,30,Museum,5,NA,NA,,,,,
Museum,museum,P. pengilleyi,31,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,32,Museum,6,NA,NA,,,,,
Museum,museum,P. pengilleyi,33,Museum,3,NA,NA,,,,,
Museum,museum,P. pengilleyi,34,Museum,3,NA,NA,,,,,
Museum,museum,P. pengilleyi,35,Museum,5,NA,NA,,,,,
Museum,museum,P. pengilleyi,36,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,37,Museum,3,NA,NA,,,,,
Museum,museum,P. pengilleyi,38,Museum,3,NA,NA,,,,,
Museum,museum,P. pengilleyi,39,Museum,3,NA,NA,,,,,
Museum,museum,P. pengilleyi,40,Museum,3,NA,NA,,,,,
Museum,museum,P. pengilleyi,41,Museum,5,NA,NA,,,,,
Museum,museum,P. pengilleyi,42,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,43,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,44,Museum,3,NA,NA,,,,,
Museum,museum,P. pengilleyi,45,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,46,Museum,3,NA,NA,,,,,
Museum,museum,P. pengilleyi,47,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,48,Museum,5,NA,NA,,,,,
Museum,museum,P. pengilleyi,49,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,50,Museum,5,NA,NA,,,,,
Museum,museum,P. pengilleyi,51,Museum,5,NA,NA,,,,,
Museum,museum,P. pengilleyi,52,Museum,5,NA,NA,,,,,
Museum,museum,P. pengilleyi,53,Museum,4,NA,NA,,,,,
Museum,museum,P. pengilleyi,54,Museum,2,NA,NA,,,,,
Museum,museum,P. pengilleyi,55,Museum,5,NA,NA,,,,,
Museum,museum,P. pengilleyi,56,Museum,5,NA,NA,,,,,
